"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"1-800-East-West Mortgage Company","","$150,000","$0","$150,000","2006","20060906","competition-related offenses","kickbacks and bribery","","The real estate appraisal company 1-800-East-West Mortgage Company agreed to pay $150,000 to settle kickback allegations. ","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","https://archives.hud.gov/news/2006/pr06-106.cfm",""
"3-State Stockyards, Inc.","","$6,750","$0","$6,750","2002","20020424","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Nebraska","Falls City","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2002NR.pdf",""
"3-State Stockyards, Inc.","","$43,000","$0","$43,000","2013","20130815","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Nebraska","Falls City","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2013NR.pdf",""
"3DSP Corporation","","$36,000","$0","$36,000","2007","20071212","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=419&Itemid=",""
"3-G Mermet Corporation","","$17,500","$0","$17,500","2004","20041018","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA242","Source document obtained through a Freedom of Information Act request to the agency."
"3M Attenti, Ltd.","3M Company","$230,000","$0","$230,000","2012","20120214","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","MMM","miscellaneous manufacturing","diversified","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/742-e2247?Itemid=",""
"3M Imtec Corporation","3M Company","$125,000","$0","$125,000","2010","20100722","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","MMM","miscellaneous manufacturing","diversified","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/569-e2177?Itemid=",""
"3Red Trading LLC","","$2,500,000","$0","$2,500,000","2016","20161220","competition-related offenses","fraud","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7504-16",""
"4S Cattle Company and Four S Cattle Company","","$9,375","$0","$9,375","2012","20120605","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Texas","Bigfoot","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2012NR.pdf",""
"A&C International Trade Inc.","","$20,000","$0","$20,000","2000","20000724","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA174","Source document obtained through a Freedom of Information Act request to the agency."
"A&C International Trade","","$100,000","$0","$100,000","2000","20000314","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","","","","","","","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=242d7e49db99db0044f9ff621f96195d",""
"AAG Makina","","$23,000","$0","$23,000","2015","20150320","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","http://efoia.bis.doc.gov/index.php/component/docman/doc_download/983-e2413?Itemid=",""
"AB Volvo","Volvo","$7,000,000","$0","$7,000,000","2008","20080320","competition-related offenses","Foreign Corrupt Practices Act","wire fraud","AB Volvo agreed to pay a $7 million penalty as part of an agreement with the U.S. Department of Justice regarding charges brought in connection with an ongoing investigation related to the United Nations Oil for Food program. The agreement came as the Justice Department filed criminal informations against AB Volvo subsidiaries Renault Trucks SAS and Volvo Construction Equipment AB charging that they engaged in separate conspiracies to commit wire fraud and to violate the books and records provisions of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Sweden","","publicly traded","","motor vehicles","motor vehicles","https://www.justice.gov/archive/opa/pr/2008/March/08_crm_220.html",""
"ABA Forwarding","","$15,000","$0","$15,000","2001","20010404","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20010411123018/http://fmc.gov/Pressreleases/NR01-05.htm",""
"ABB Ltd","ABB Ltd.","$5,900,000","$0","$5,900,000","2004","20040706","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.sec.gov/litigation/litreleases/lr18775.htm",""
"ABB Ltd.","ABB Ltd.","$39,300,000","$0","$39,300,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.sec.gov/news/press/2010/2010-175.htm",""
"ABB Ltd.","ABB Ltd.","$19,000,000","$0","$19,000,000","2010","20100929","competition-related offenses","Foreign Corrupt Practices Act","","ABB Ltd, a Swiss corporation, and two of its subsidiaries have resolved charges related to violations of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.justice.gov/opa/pr/abb-ltd-and-two-subsidiaries-resolve-foreign-corrupt-practices-act-investigation-and-will-pay",""
"ABB Middle East & Africa Participations AG","ABB Ltd.","$53,000,000","$0","$53,000,000","2001","20010412","competition-related offenses","price-fixing or anti-competitive practices","bid-rigging","ABB Middle East &Africa Participations AG, a Milan-based, Swiss subsidiary of ABB Asea Brown Boveri Ltd., pleaded guilty and was sentenced to pay a $53 million fine for participating in a conspiracy to rig bids on a construction contract funded by the United States Agency for International Development in Egypt.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Switzerland","","publicly traded","ABB","utilities and power generation","power systems","https://www.justice.gov/archive/atr/public/press_releases/2001/7984.htm",""
"ABB Vetco Gray Inc. and ABB Vetco Gray UK Ltd.","General Electric","$10,500,000","$0","$10,500,000","2004","20040706","competition-related offenses","Foreign Corrupt Practices Act","","ABB Vetco Gray Inc. and ABB Vetco Gray UK Ltd., U.S. and UK subsidiaries of Swiss company ABB Ltd., pleaded guilty to a criminal information charging each of the two companies with two counts of bribery in violation of the Foreign Corrupt Practices Act. ABB later sold the business, which eventually ended up as part of General Electric.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","USA","Massachusetts","publicly traded","GE","diversified","diversified","https://www.justice.gov/archive/opa/pr/2004/July/04_crm_465.htm",""
"ABC Trucking and Logistics LLC","","$23,000","$0","$23,000","2014","20141010","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20141018231257/http://www.fmc.gov/NR14-13/",""
"Abco International Freight (USA), Inc. dba Abco Logistics","","$40,000","$0","$40,000","2009","20090722","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20090822015416/http://www.fmc.gov/speeches/newsrelease.asp?SPEECH_ID=282",""
"Abilene Auction Inc.","","$5,000","$0","$5,000","2016","20160421","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Texas","Abilene","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2016NR.pdf",""
"ABO (USA) Inc.","","$20,000","$0","$20,000","2003","20031113","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA82","Source document obtained through a Freedom of Information Act request to the agency."
"Access USA Shipping, LLC","","$27,000,000","$0","$27,000,000","2017","20170314","competition-related offenses","export control violation","","The Bureau of Industry and Security reached a $27 million civil settlement with Access USA Shipping, LLC of Sarasota, Florida, to settle allegations that it committed violations of the Export Administration Regulations (EAR). ","federal","agency action","Bureau of Industry and Security","civil","","","","","","Florida","Sarasota","","","","","","","","","","","https://www.bis.doc.gov/index.php/about-bis/newsroom/1250-florida-firm-fined-27-million-for-export-violations",""
"Accredo Health Group","Cigna","$60,000,000","$0","$60,000,000","2015","20150501","competition-related offenses","kickbacks and bribery","fraud","The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced a $60 million settlement of a civil fraud lawsuit against Accredo Health Group concerning an alleged kickback scheme with Novartis Pharmaceuticals.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-60-million-civil-fraud-settlement-accredo-health-group",""
"Ace Shipping Corp. and Young S. Kim d.b.a. Ace Young Company","","$23,000","$0","$23,000","2000","20000323","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20000817195430/http://www.fmc.gov/Pressreleases/00-06%20News%20Release.htm",""
"Ace Systems Inc.","","$36,000","$0","$36,000","2007","20070815","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=388&Itemid=",""
"Aces, Ltd. and Northeast Consolidators, Inc.","","$55,000","$0","$55,000","2005","20051005","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20051219202417/http://www.fmc.gov/speeches/newsrelease.asp?SPEECH_ID=211",""
"AD Byrd Cattle","","$50,925","$0","$50,925","2013","20130822","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Oklahoma","Cache","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2013NR.pdf",""
"Advance Ocean, Inc","","$25,000","$0","$25,000","2001","20011129","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20011204214903/http://fmc.gov/Pressreleases/01-12NewsRelease.htm",""
