"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"1st Alliance Lending, LLC","","$83,000","$0","$83,000","2014","20140224","consumer-protection-related offenses","consumer protection violation","mortgage abuses","The Consumer Financial Protection Bureau ordered a Connecticut mortgage lender, 1st Alliance Lending LLC, to pay an $83,000 civil money penalty for violating federal law by illegally splitting real estate settlement fees. First Alliance self-reported these violations to the Bureau, admitted liability, and provided information related to the conduct of other actors that has facilitated other enforcement investigations.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","","","","","","","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-mortgage-lender-for-illegal-payments/",""
"6 Johnson Road Licenses, Inc.","","$50,000","$0","$50,000","2009","20090309","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","http://transition.fcc.gov/eb/Orders/2009/DA-09-559A1.html",""
"9210-7838 Quebec Inc. and 9262-2182 Quebec Inc.","","$1,091,450","$0","$1,091,450","2014","20140912","consumer-protection-related offenses","consumer protection violation","","The Federal Trade Commission halted two health care scams that were designed to trick consumers into paying for phony discount cards, which the scammers falsely claimed would provide consumers with health insurance, or help them pay for prescription drugs.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2014/09/ftc-stops-marketers-phony-health-care-discount-schemes-directed",""
"A Better Airfare, LLC","","$20,000","$0","$20,000","2003","20030116","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2003-1-12.pdf",""
"A-Liner-8 Aviation, Inc.","","$50,000","$0","$50,000","2005","20050207","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2005-2-4.pdf",""
"A-Liner-8 Aviation, Inc.","","$20,000","$0","$20,000","2010","20101220","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-12-23.pdf",""
"AAA MidAtlantic Inc.","","$40,000","$0","$40,000","2013","20130829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2013-8-24.pdf",""
"AAA Washington/Inland","","$10,000","$0","$10,000","2004","20040806","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2004-8-2.pdf",""
"AAAA Auto Car Brokers, Inc. et al.","","$45,000","$0","$45,000","2001","20011113","consumer-protection-related offenses","consumer protection violation","","Two related automotive transport brokers agreed to pay $45,000 in consumer redress to resolve FTC allegations about false claims.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2001/11/two-nevada-automobile-transport-brokers-pay-consumer-redress",""
"Abernathy Motor Company","","$90,000","$0","$90,000","2015","20150610","consumer-protection-related offenses","consumer protection violation","","An Arkansas auto dealer and its owners agreed to pay a $90,000 civil penalty to settle Federal Trade Commission charges that they failed to display a Buyers Guide on used vehicles offered for sale, as required by the FTC's Used Car Rule.","federal","agency action","Federal Trade Commission","civil","","","","","","Arkansas","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2015/06/ftc-action-leads-arkansas-car-dealer-pay-90000-civil-penalty-not",""
"ACAAS Canada Ltd","","$20,000","$0","$20,000","2010","20101124","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-11-27.pdf",""
"Academy Collection Service, Inc.","","$2,250,000","$0","$2,250,000","2008","20081121","consumer-protection-related offenses","consumer protection violation","","Academy Collection Service Inc. and its owner agreed to pay $2.25 million to settle Federal Trade Commission charges that Academy and its collectors misled, threatened, and harassed consumers; disclosed their debts to third parties; and deposited postdated checks early, in violation of federal law.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2008/11/nationwide-debt-collector-will-pay-225-million-settle-ftc-charges",""
"ACC Licensee, Inc.","","$21,000","$0","$21,000","2010","20100929","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","http://transition.fcc.gov/eb/Orders/2010/DA-10-1722A1.html",""
