"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"8000 Inc.","","$6,500,000","$0","$6,500,000","2015","20150916","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2015/lr23349.htm",""
"1-800-East-West Mortgage Company","","$150,000","$0","$150,000","2005","20051117","financial offenses","banking violation","","The Department of Housing and Urban Development and the Federal Deposit Insurance Corporation announced a $150,000 settlement with one of the largest mortgage companies in New England for violations of the Real Estate Settlement Procedures Act. HUD and FDIC found that 1-800-East-West Mortgage Company solicited and received tickets from certain settlement service providers to Boston Red Sox and New England Patriots events as well as music concerts and restaurant gift certificates in exchange for the referral of business.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2005/pr11605.html",""
"1st Financial Bank USA","1st Financial Bank USA","$10,140,000","$0","$10,140,000","2010","20100129","financial offenses","banking violation","","The Federal Deposit Insurance Corporation announced a settlement with 1st Financial Bank USA, Dakota Dunes, South Dakota, for unfair and deceptive practices in violation of section 5 of the Federal Trade Commission Act in connection with the bank's credit card billing procedures.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","USA","South Dakota","privately held","","financial services","banking","https://www.fdic.gov/news/news/press/2010/pr10019.html",""
"1ST FINANCIAL BANK USA","1st Financial Bank USA","$140,000","$140,000","$0","2009","20091230","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-09-309k","","","South Dakota","DAKOTA DUNES","","","","","USA","South Dakota","privately held","","financial services","banking","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4Y4AAK?operationContext=S1",""
"1st Global Capital Corp.","","$100,000","$0","$100,000","2006","20061115","financial offenses","investor protection violation","","1st Global Capital Corp. was ordered to pay a $100,000 penalty and consent to findings that it made unsuitable recommendations and sales of units of tax-advantaged qualified tuition savings plans, commonly known as Section 529 College Savings Plans.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/press/2006/2006-192.htm",""
"20th Century Jackson Equities, Inc.","","$470,269","$0","$470,269","2007","20070104","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2007/lr19958.htm",""
"211 Ventures LLC","","$2,300,000","$0","$2,300,000","2013","20130319","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2013/lr22649.htm",""
"21st Century Satellite Communications, Inc.","","$6,110,736","$0","$6,110,736","2001","20011012","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr17183.htm",""
"4NExchange","","$480,000","$0","$480,000","2008","20081120","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5572-08",""
"4X Solutions Inc.","","$10,980,904","$0","$10,980,904","2016","20160208","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7321-16",""
"A Chicago Convention Center, LLC and Intercontinental Regional Center Trust of Chicago, LLC","","$12,950,000","$0","$12,950,000","2014","20140319","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2014/lr22945.htm",""
"A. Kazemi & Co., Inc.","","$8,262","$0","$8,262","2003","20030404","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04042003.pdf",""
"AAR International Inc.","AAR Corp.","$9,400","$0","$9,400","2003","20030620","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Illinois","publicly traded","AIR","aerospace and military contracting","aerospace & military contracting","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06202003.pdf",""
"Aargauische Kantonalbank","","$1,983,000","$0","$1,983,000","2015","20151208","financial offenses","tax violations","","Swiss Bank Program","federal","agency action","Justice Department Tax Division","criminal","non-prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/justice-department-announces-aargauische-kantonalbank-reaches-resolution-under-swiss-bank",""
"Aaristo Commodities and Futures DMCC","","$100,000","$0","$100,000","2008","20080409","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5481-08",""
"Aban Offshore Limited","","$17,500","$0","$17,500","2017","20170112","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20170112_aban.pdf",""
"ABN AMRO Mortgage Group","ABN AMRO","$41,000,000","$0","$41,000,000","2006","20060104","financial offenses","mortgage abuses","","The Department of Housing and Urban Development, together with the Justice Department and the Office of the Comptroller of the Currency, announced a more than $41 million settlement against mortgage giant ABN AMRO Mortgage Group for falsifying documents in tens of thousands of loans insured by the Federal Housing Administration.","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","Netherlands","","privately held","","financial services","banking","https://archives.hud.gov/news/2006/pr06-002.cfm",""
"ABN AMRO Bank, Inc","ABN AMRO","$25,847","$0","$25,847","2004","20040507","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Netherlands","","privately held","","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/05072004.pdf",""
"ABN AMRO Bank, N.V.","ABN AMRO","$40,000,000","$0","$40,000,000","2006","20060103","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Netherlands","","privately held","","financial services","banking","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/01032006.pdf",""
"ABN AMRO Bank N.V. renamed the Royal Bank of Scotland N.V.","ABN AMRO","$500,000,000","$0","$500,000,000","2010","20100510","financial offenses","economic sanction violation","","The former ABN AMRO Bank N.V. agreed to forfeit $500 million in connection with an alleged conspiracy to violate the International Emergency Economic Powers Act and the Trading with the Enemy Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Netherlands","","privately held","","financial services","banking","https://www.justice.gov/opa/pr/former-abn-amro-bank-nv-agrees-forfeit-500-million-connection-conspiracy-defraud-united",""
"ABN AMRO Clearing Chicago LLC","ABN AMRO","$1,000,000","$0","$1,000,000","2013","20130619","financial offenses","investor protection violation","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission issued an Order settling charges against ABN AMRO Clearing Chicago LLC for failing to segregate or secure sufficient customer funds; failing to meet the minimum net capital requirements, failure to maintain accurate books and records, and failure to supervise its employees.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Netherlands","","privately held","","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr6614-13",""
"ABS Manager","","$1,087,648","$0","$1,087,648","2015","20150730","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2015/lr23313.htm",""
