"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"21st Century Oncology Inc.","21st Century Oncology","$34,700,000","$0","$34,700,000","2016","20160308","government-contracting-related offenses","False Claims Act and related","","21st Century Oncology Inc., the nation's largest physician led integrated cancer care provider and its wholly owned subsidiary South Florida Radiation Oncology LLC, agreed to settle allegations that they performed and billed for procedures that were not medically necessary.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","privately held","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/united-states-settles-false-claims-act-allegations-against-21st-century-oncology-347-million",""
"A Plus Home Health Care Inc.","","$1,650,000","$0","$1,650,000","2014","20140917","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","A Plus Home Health Care Inc. and its owners, Tracy Nemerofsky and her father, Stephen Nemerofsky, agreed to pay $1.65 million to the United States to settle allegations that A Plus paid spouses of referring physicians for sham marketing positions in order to induce patient referrals.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/florida-home-health-care-company-and-its-owners-agree-resolve-false-claims-act-allegations",""
"Abbott Laboratories","Abbott Laboratories","$5,475,000","$0","$5,475,000","2013","20131227","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Abbott Laboratories agreed to $5.475 million to resolve allegations that it violated the False Claims Act by paying kickbacks to induce doctors to implant the company's carotid, biliary and peripheral vascular products.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABT","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/abbott-laboratories-pays-us-5475-million-settle-claims-company-paid-kickbacks-physicians",""
"Abbott Laboratories Inc.","AbbVie","$126,500,000","$0","$126,500,000","2010","20101207","government-contracting-related offenses","False Claims Act and related","","Abbott Laboratories Inc., B. Braun Medical Inc. and Roxane Laboratories Inc. n/k/a Boehringer Ingelheim Roxane Inc. and affiliated entities agreed to pay $421 million to settle False Claims Act allegations, that they engaged in a scheme to report false and inflated prices for numerous pharmaceutical products knowing that federal healthcare programs relied on those reported prices to set payment rates.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/pharmaceutical-manufacturers-pay-4212-million-settle-false-claims-act-cases",""
"ABO Petroleum Corporation","","$7,860","$0","$7,860","2001","20010326","government-contracting-related offenses","federal leasing royalty violation","","CP00-024","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","FOIA244","Source document obtained through a Freedom of Information Act request to the agency."
"Academy for Educational Development","","$5,000,000","$0","$5,000,000","2011","20110630","government-contracting-related offenses","False Claims Act and related","","The Academy for Educational Development in Washington, D.C., agreed to settle allegations that the company submitted false claims to the United States Agency for International Development in connection with two cooperative agreements under which AED provided foreign assistance in Afghanistan and Pakistan. Although certain terms of the settlement were contingent on future events, the agreement ensured that the United States would receive more than $5 million, and potentially could receive more than $15 million, to settle these claims.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/washington-dc-based-academy-educational-development-pays-more-5-million-settle-false-claims",""
"Accenture LLP","Accenture","$63,675,000","$0","$63,675,000","2011","20110912","government-contracting-related offenses","False Claims Act and related","","Accenture LLP agreed to pay the United States $63.675 million to resolve a whistleblower lawsuit alleging that Accenture submitted or caused to be submitted false claims for payment under numerous contracts with agencies of the United States for information technology services.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Ireland","","publicly traded","ACN","business services","business services","https://www.justice.gov/opa/pr/accenture-pays-us-63675-million-settle-false-claims-act-allegations",""
"Acclarent Inc.","Johnson & Johnson","$18,000,000","$0","$18,000,000","2016","20160722","government-contracting-related offenses","False Claims Act and related","","California-based medical device manufacturer Acclarent Inc., a subsidiary of Johnson & Johnson, agreed to pay $18 million to resolve allegations that the company caused health care providers to submit false claims to Medicare and other federal health care programs by marketing and distributing its sinus spacer product for use as a drug delivery device without Food and Drug Administration approval.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New Jersey","publicly traded","JNJ","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/johnson-johnson-subsidiary-acclarent-inc-pays-government-18-million-settle-false-claims-act",""
"ADC Telecommunications Inc.","TE Connectivity","$1,000,000","$0","$1,000,000","2012","20120709","government-contracting-related offenses","False Claims Act and related","trade violations","ADC Telecommunications Inc. agreed to pay the United States $1 million to resolve allegations that the company submitted false claims to federal agencies when it sold telecommunications goods manufactured in countries prohibited by the Trade Agreements Act.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://www.justice.gov/opa/pr/telecommunications-firm-pay-us-1-million-settle-alleged-violations-trade-agreements-act",""
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Advantage Resources Inc.","","$24,384","$0","$24,384","2015","20150930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to submit sales and royalty remittance reports for eight payments.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2015.pdf",""
"Advantage Resources, Inc.","","$10,272","$0","$10,272","2016","20160930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to submit sales and royalty remittance reports","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2016.pdf",""
"Adventist Health System","Adventist Health System","$115,000,000","$0","$115,000,000","2015","20150921","government-contracting-related offenses","False Claims Act and related","","Adventist Health System agreed to pay the United States $115 million to settle allegations that it violated the False Claims Act by maintaining improper compensation arrangements with referring physicians and by miscoding claims.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-system-agrees-pay-115-million-settle-false-claims-act-allegations",""
