"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Abbott Laboratories Inc.","AbbVie","$1,500,000,000","$0","$1,500,000,000","2012","20120507","healthcare-related offenses","off-label or unapproved promotion of medical products","","Global Health Care Company Abbott Laboratories Inc. has pleaded guilty and agreed to pay $1.5 billion to resolve its criminal and civil liability arising from the company's unlawful promotion of the prescription drug Depakote for uses not approved as safe and effective by the Food and Drug Administration. The resolution - the second largest payment by a drug company - includes a criminal fine and forfeiture totaling $700 million and civil settlements with the federal government and the states totaling $800 million. Abbott also will be subject to court-supervised probation and reporting obligations for Abbotts CEO and Board of Directors.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil and criminal","","","","","","","","","","","","USA","Illinois","publicly traded","ABBV","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/abbott-labs-pay-15-billion-resolve-criminal-civil-investigations-label-promotion-depakote",""
"Abbott Northwestern Hospital","","$350,000","$0","$350,000","2008","20081104","healthcare-related offenses","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Minnesota","","","","","","","","","","","","FOIA500","Source document obtained through a Freedom of Information Act request to the agency."
"ABCM Corporation","","$40,137","$0","$40,137","2009","20091015","healthcare-related offenses","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Iowa","","","","","","","","","","","","FOIA458","Source document obtained through a Freedom of Information Act request to the agency."
"Accurate Home Care, LLC","","$334,651","$0","$334,651","2015","20150619","healthcare-related offenses","HHS civil monetary penalties","","Accurate Home Care, LLC, an Otsego, Minnesota-based provider of nursing and personal care services, entered into a $334,651.82 settlement agreement to resolve allegations that Accurate employed an excluded individual to provide services to Medicaid beneficiaries. ","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Minnesota","Otsego","","","","","","","","","","","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Advanced Neuromodulation Systems, Inc.","Abbott Laboratories","$2,950,000","$0","$2,950,000","2007","20070702","healthcare-related offenses","HHS civil monetary penalties","kickbacks and bribery","The HHS Inspector General announced that Advanced Neuromodulation Systems, Inc.,  a medical device manufacturer specializing in spinal cord stimulation used for pain management, agreed to pay $2.95 million to settle allegations that it paid kickbacks to physicians in violation of the Civil Monetary Penalties Law (CMPL). The company also entered into a 3-year Corporate Integrity Agreement.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABT","pharmaceuticals","pharmaceuticals","https://oig.hhs.gov/publications/docs/press/2007/ANS%20Press%20Release.pdf",""
"Advocate Health and Hospitals Corporation","Advocate Aurora Health","$317,660","$0","$317,660","2015","20151023","healthcare-related offenses","HHS civil monetary penalties","","Advocate Health and Hospitals Corporation entered into a $317,660.89 settlement agreement to resolve allegations that Advocate employed two individuals who were excluded from participation in any Federal health care program. ","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Illinois","","","","","","USA","Illinois","non-profit","","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Aetna Inc.","CVS Health","$1,000,000","$0","$1,000,000","2015","20150416","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$407,800","$0","$407,800","2014","20140424","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$171,240","$0","$171,240","2011","20110114","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Aetna, Inc.","CVS Health","$101,500","$0","$101,500","2014","20140424","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
