"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"A.G. Edwards & Sons, Inc.","Wells Fargo","$45,000","$0","$45,000","2003","20030625","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","http://www.cftc.gov/opa/enf03/opa4801-03.htm",""
"Allied Waste Industries Inc.","Republic Services","$125,000","$0","$125,000","2007","20070508","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Allied Waste Industries Inc. agreed to pay $125,000 as part of a civil settlement with the Department of Justice that resolved Allied's alleged violations of a 2000 consent decree entered in connection with Allied's acquisition of Browning-Ferris Industries Inc. ","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","https://www.justice.gov/archive/atr/public/press_releases/2007/223119.htm",""
"ALLTEL Corporation","Verizon Communications","$1,325,000","$0","$1,325,000","2007","20071203","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","ALLTEL Corporation agreed to pay $1.325 million as part of a civil settlement with the Department of Justice and the state of Minnesota that resolved ALLTEL's alleged violations of two court orders entered in connection with ALLTEL's acquisition of Midwest Wireless Holdings LLC.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","New York","publicly traded","VZ","telecommunications","telecommunications","https://www.justice.gov/archive/atr/public/press_releases/2007/228160.htm",""
"Ameri-Source International Inc., Ameri-Source Specialty Products Inc. and Ameri-Source Holdings Inc.","","$3,000,000","$0","$3,000,000","2016","20160222","miscellaneous offenses","customs duty evasion","","The Department of Justice announced that three importers and their owners -- Ameri-Source International Inc., Ameri-Source Specialty Products Inc., Ameri-Source Holdings Inc., Ajay Goel and Thomas Diener -- and a related importer, SMC Machining LLC, incorporated at Goel's direction and formerly owned by his wife, agreed to pay $3 million to resolve a lawsuit brought by the United States under the False Claims Act.  The lawsuit alleged that the defendants had engaged in a scheme to evade customs duties on imports of small-diameter graphite electrodes from the People's Republic of China.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/four-pennsylvania-based-companies-and-two-individuals-agree-pay-3-million-settle-false-claims",""
"American Airlines Inc.","American Airlines","$3,000,000","$0","$3,000,000","2004","20040806","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","The Department of Justice announced a settlement with American Airlines Inc. resolving the government's concerns regarding American's alleged violations of a 1994 consent decree. American agreed to pay a $3 million civil penalty, which included reimbursement to the government for its investigation.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","AAL","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2004/204933.htm",""
"American Electric Power","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power, Inc. and AEP's wholly-owned subsidiary, AEP Energy Services, Inc. (AEPES) resolved an ongoing federal investigation into the submission of knowingly inaccurate reports by AEPES concerning a commodities market. AEPES agreed to pay a criminal penalty of $30 million.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2005/January/05_crm_032.htm",""
"American Electric Power Company, Inc. and AEP Energy Services, Inc.","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power and its subsidiary AEPES agreed to pay $30 million to resolve CFTC allegations that they repeatedly and deliberately reported false natural gas trading information, including price and volume information, to certain firms that compile natural gas price indexes. The complaint further alleged that AEP and AEPES knowingly delivered false information to price index compilers in an attempt to skew those indexes for their financial benefit.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","http://www.cftc.gov/opa/enf05/opa5041-05.htm",""
"American Rental Management","","$34,800","$0","$34,800","2000","20000526","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=AmerRental.dec.5-26-00.pdf",""
"AT&T Inc.","AT&T","$2,000,000","$0","$2,000,000","2009","20090114","miscellaneous offenses","civil contempt","","AT&T Inc. agreed to pay more than $2 million as part of a civil settlement with the Department of Justice that resolved AT&T's alleged violations of two court orders entered in connection with its acquisition of Dobson Communications Corporation.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","T","telecommunications","telecommunications","https://www.justice.gov/archive/opa/pr/2009/January/09-at-033.html",""
"Barclays Bank PLC","Barclays","$500,000","$0","$500,000","2016","20160922","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Britain","","publicly traded","BCS","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr7452-16",""
"BNP Paribas Commodity Futures, Ltd.","BNP Paribas","$25,000","$0","$25,000","2008","20080312","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced that BNP Paribas Commodity Futures, Ltd. would pay a $25,000 civil monetary penalty to settle charges that it failed to provide to the CFTC timely and accurate account information for a reportable large trader account, as required by CFTC regulations.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr5470-08",""
"Carr Futures Inc","","$75,000","$0","$75,000","2003","20030429","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/opa/enf03/opa4780-03.htm",""
"Chiquita Brands International Inc.","Cutrale","$25,000,000","$0","$25,000,000","2007","20070319","miscellaneous offenses","payment to designated terrorist organization","","Chiquita Brands International Inc. pleaded guilty to one count of engaging in transactions with a terrorist organization in Colombia.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","Brazil","","privately held","","food products","food products","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_161.html",""
"Cinergy Marketing & Trading, LP","Duke Energy","$3,000,000","$0","$3,000,000","2004","20041116","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced the issuance of an administrative order filing and simultaneously settling allegations against Cinergy Marketing & Trading, LP, as successor in interest to Cinergy Marketing & Trading, LLC. Cinergy agreed to pay a $3 million civil monetary penalty to settle charges of false reporting of trade information concerning natural gas transactions.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","DUK","utilities and power generation","utilities","http://www.cftc.gov/opa/enf04/opa5020-04.htm",""
